ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1781506332601,2097152,-0.65864044,3.2117703,9.17546,-0.056199603,-0.036651913,-0.06719518,
1781506332640,2222429,-0.5676283,3.2764368,9.084448,0.0061086523,0.0,-0.004886922,
1781506332682,2222693,-0.52212226,3.3506837,9.197016,0.0061086523,0.0,-0.004886922,
1781506332721,2222888,-0.56044316,3.4201403,9.271262,0.017104227,-0.02076942,-0.012217305,
1781506332762,2223031,-0.5748135,3.2644615,9.328744,0.04153884,-0.02076942,-0.009773844,
1781506332800,2222518,-0.47182608,3.4632514,9.247312,-0.0036651916,0.007330383,0.0012217305,
1781506332841,2221726,-0.36883867,3.4608562,9.323954,-0.028099801,0.019547688,0.002443461,
1781506332881,2221214,-0.50775194,3.2596714,9.367064,-0.028099801,0.019547688,0.002443461,
1781506332924,2220824,-0.59397393,3.3554738,9.204201,-0.008552114,-0.0036651916,-0.004886922,
1781506332961,2220499,-0.5772085,3.4249303,9.280843,0.034208454,0.014660766,0.004886922,
1781506333000,2079958,-0.55804807,3.3842144,9.103608,0.021991149,0.010995574,0.012217305,
1781506333041,2079878,-0.6682207,3.3003874,9.026967,0.007330383,-0.0036651916,0.0036651916,
1781506333081,2079749,-0.7017515,3.6476705,9.187435,0.007330383,-0.0036651916,0.0036651916,
1781506333123,2079602,-0.5245173,3.4105601,9.467657,-0.052534413,-0.04886922,-0.019547688,
1781506333160,2079551,-0.41673976,2.7926354,9.486817,-0.07452556,-0.03176499,-0.13439035,
1781506333201,2096202,-0.3712337,3.9398675,9.819731,-0.04520403,-0.105068825,-0.002443461,
1781506333240,2095991,-0.8598252,2.4118216,9.343114,-0.037873644,-0.24678956,0.10995574,
1781506333282,2095956,-1.4993051,2.9674747,8.93835,-0.037873644,-0.24678956,0.10995574,
1781506333325,2096065,-2.438167,2.5267842,9.120374,-0.42271876,-0.5143485,0.5729916,
1781506333360,2096103,-2.77108,3.0920177,9.091633,-0.7293731,-0.6169739,0.9602802,
1781506333403,2094488,-2.088489,2.684858,8.174327,-0.6976081,-0.657291,1.3695599,
1781506333441,2094814,-1.410688,1.666959,9.070078,-0.8918633,-0.7611381,1.971873,
1781506333482,2095753,-0.5772085,1.6909096,8.483289,-0.8918633,-0.7611381,1.971873,
1781506333520,2096808,0.6298998,1.28375,8.967091,-0.8918633,-0.7611381,1.971873,0
1781506333562,2097887,2.9291537,0.040715955,9.106004,-0.5131268,-0.7415904,3.2155948,0
1781506333600,2095870,3.4225352,-0.011975281,9.158695,-0.68661255,-0.83199847,3.2534683,0
1781506333641,2096961,4.1961384,-0.42392495,9.58741,-0.49113566,-0.98471475,3.1520646,0
1781506333681,2098330,4.737421,-1.2406391,9.254498,-0.49113566,-0.98471475,3.1520646,0
